Localization,En,Ru,De,Fr,Pl,Kr,Pt-Br,Spa,Swe,Jp,Cn,Fa
Green color is a new strings,,,,,,,,,,,,
HelmetSavedYourHead,Your helmet saved your head,Шлем защитил вашу голову,Dein Helm rettete dein Leben,Votre casque a protégé votre tête,Hełm uratował ci głowe,헬멧이 당신의 머리를 구했다,Seu capacete salvou sua cabeça,El casco te protegió la cabeza,Din hjälm skyddade ditt huvud,あなたの頭はヘルメットで守られた,頭盔保護了你的頭部,کلاه ایمنی سر شما را نجات داد
ArmorSavedYourChest,Your body armor has protected you from a chest injury,Бронежилет защитил вашу грудь,Deine Rüstung rettete deine Brust,Votre armure a protégé votre poitrine,Kamizelka ochroniła cię przed urazem tułowia,갑옷이 당신의 가슴을 구했다,Sua armadura salvou seu peito,Tu chaleco te protegió de una herida en el pecho,Din kroppspansar skyddar dig mot bröstskada,あなたの胸は防弾ベストで守られた,防彈衣保護了你的胸部,زره، بدن شما را از آسیب رسیدن به قفسه سینه محافظت کرده است
ArmorSavedYourLowerBody,Your body armor has protected you from a lower body injury,Бронежилет защитил ваш живот,Deine Rüstung rettete deinen Unterkörper,Votre armure a protégé le bas de votre corps,Kamizelka ochroniła cię przed urazem dolnej części ciała,갑옷이 당신의 하체를 구했다,Sua armadura salvou seu corpo inferior,Tu chaleco te protegió de una herida en el abdomen inferior,Din kroppspansar skyddar dig mot skador på kroppen,あなたの下半身は防弾ベストで守られた,防彈衣保護了你的下半身,زره، بدن شما را از آسیب دیدگی پایین‌تنه محافظت کرده است
ArmorPenetrated,Your armor was penetrated,Бронежилет был пробит,Deine Rüstung wurde durchdrungen,Votre armure a été pénétrée,Przebicie kamizelki,당신의 갑옷이 뚫렸다,Sua armadura foi penetrada,Tu chaleco antibalas fue penetrado,Din rustning penetrerades,あなたの防弾ベストは貫通された,防彈衣被擊穿,زره شما مورد نفوذ قرار گرفته
,"Write body parts correctly! Eg, ""Flesh wound on head""",,,,,,,,,体のパーツ名を正しく入力してください（例：頭）,,
BodyPartHead,head,голове,Kopf,tête,głowie,머리,cabeça,Cabeza,huvud,頭,頭部,سر
BodyPartNeck,neck,шее,Hals,cou,szyji,목,pescoço,cuello,nacke,首,頸部,گردن
BodyPartChest,chest,груди,Brust,poitrine,klatki piersiowej,가슴,peito,pecho,bröst,胸,胸部,قفسه سینه
BodyPartLowerBody,abdomen,животе,Unterkörper,bas du corps,brzuchu,하체,corpo inferior,abdomen,buk,腹部,腹部,شکم
BodyPartArm,arm,руке,Arm,bras,ręce,팔,braço,brazo,arm,腕,手臂,بازو
BodyPartLeg,leg,ноге,Bein,jambe,nodze,다리,Perna,pierna,ben,足,腿部,پا
,,,,,,,,,,,,
GrazeWound,Graze wound,Поверхностное ранение,Hautabschürfung,Écorchure,Otarcię,볼 상처,Raspão,Raspadura,Graze wound,かすり傷,擦傷,آسیب سطحی
GrazeGswOn,Graze GSW on,Поверхностное огнестрельное ранение на,Streifschuss an,Blessure par balle sur,Otarcie postrzałowe na,볼 총상 어디에,Pastar GSW on,Abrasion GSW on,Graze GSW on,Graze GSW on,Graze GSW on,Graze GSW on
FleshGswOn,Flesh GSW on,Касательное огнестрельное ранение на,Fleischwunde an,Chair abîmé par balle sur,Rana postrzałowa na,육체 총상 어디에,Ferida GSW on,Herida GSW on,Flesh GSW on,Flesh GSW on,Flesh GSW on,Flesh GSW on
PenetratingGswOn,Penetrating GSW on,Слепое огнестрельное ранение на,Schutz-durchdringende Schussverletzung an,Pénétration d'une balle sur,Spenetrowanie postrzeleniem na,침투하는 총상 어디에,Penetração GSW on,Penetracion GSW on,Penetrating GSW on,Penetrating GSW on,Penetrating GSW on,Penetrating GSW on
PerforatingGswOn,Perforating GSW on,Сквозное огнестрельное ранение на,Durchschuss an,Perforation d'une balle sur,Zniekształcenia postrzałowe na,관통 총상 어디에,Perfuração GSW on,Perforacion GSW on,Perforating GSW on,Perforating GSW on,Perforating GSW on,Perforating GSW on
AvulsiveGswOn,Avulsive GSW on,Рваное огнестрельное ранение на,Fleisch-reissende Schussverletzung an,Avulsive GSW on,Oskurowanie postrzeleniem na,격렬한 총상 어디에,Avulsivo GSW on,Avulsion GSW,Avulsive GSW on,Avulsive GSW on,Avulsive GSW on,Avulsive GSW on
,,,,,,,,,,,,
,,,,,,,,,,,,
HeavyBrainDamage,Heavy brain damage,Тяжелое повреждение мозга,Schwerer Hirnschaden,Lourds dégâts cérébraux,Poważne uszkodzenie mózgu,심각한 뇌 손상,Dano cerebral pesado,Daño cerebral grave,Heavy brain damage,脳に重大なダメージを受けた,頭部嚴重受損,Heavy brain damage
BulletFlyThroughYourHead,A bullet has penetrated your skull,Пуля прошла вашу голову насквозь,Eine Kugel hat deinen Schädel durchdrungen,Une balle a pénétré dans votre crâne,Pocisk spenetrował ci czaskę,총알이 당신의 머리를 통해 난다,Bala voôu pela sua cabeça,Una bala ha penetrado tu craneo,A bullet has penetrated your skull,銃弾があなたの頭蓋骨を貫通した,子彈穿透你的頭骨,A bullet has penetrated your skull
BulletTornApartYourBrain,A bullet has fractured your skull,Пуля разорвала ваш череп на куски,Eine Kugel hat dein Hirn durchdrungen,Une balle vous a fracturé votre crâne,Pocisk uszkodził twoją czaskę,총알이 당신의 두뇌를 찢어 버렸습니다,bala explodiu sua cabeça,Una bala ha fracturado tu craneo,A bullet has fractured your skull,弾丸により頭蓋骨が骨折した,子彈使你頭部骨折,A bullet has fractured your skull
,,,,,,,,,,,,
LightBruise,Light bruise,Легкий ушиб,Leichte Prellung,Léger bleu,Lekkie zacięcie,가벼운 타박상,ferimento leve,Abrasura leve,Light bruise,軽いあざ,輕度淤血,Light bruise
LightBruiseOn,Light bruise on,Легкий ушиб на,Leichte Prellung an,Léger bleu activé,Lekkie zacięcie na,가벼운 타박상 ,Contusão leve on,abrasion ligera,Light bruise on,軽いあざ 有効,輕度淤血 on,Light bruise on
MediumBruiseOn,Medium bruise on,Средний ушиб на,Mittlere Prellung an,Bleu activé,Średnie zacięcie na,중간 타박상 켜짐,Contusão média on,abrasion media,Medium bruise on,中傷 有効,中度淤血 on,Medium bruise on
HeavyBruiseOn,Heavy bruise on,Серьезный ушиб на,Schwere Prellung an,Gros bleu activé,Poważne zacięcie na,심각한 타박상 켜짐,Contusão pesada on,abrasion grave,Heavy bruise on,大打撲 有効,嚴重摔傷 on,Heavy bruise on
AbrazionWoundOn,Abrasion wound on,Содрана кожа на,Schürfwunde an,Éraflure,Przetarcie rany na,마모 상처 켜짐,Ferida de abrasão on,abulsion,Abrasion wound on,かすり傷 有効,擦傷 on,Abrasion wound on
WindedFromImpact,Winded from impact,Головокружение от удара,Außer Atem durch Treffer,Vertiges du au choc,Powalenie po uderzeniu,충격 때문에 숨이 헐떡임,Falta de ar devido ao impacto,Falta de aliento por el impacto,Winded from impact,影響を受けない,因撞擊而喘氣,Winded from impact
,,,,,,,,,,,,
IncisionWoundOn,Incision wound to the,Поверхностное ранение на,Schnittwunde an,Plaie superficielle sur,Naciencię na,절개 상처 어디에,Incisão em ferida,Incision,Incision wound to the,Incision wound to the,Incision wound to the,Incision wound to the
