KEY,EN,RU,DE,FR,PL,KR,PT-BR,SPA,SWE,JP,ZH-HK,ZN-CN,FA,FI
Green for a new strings,,,,,,,,,,,,,,
Black for removed strings,,,,,,,,,,,,,,
HelmetProtectedYou,Your helmet saved your head,Шлем спас вашу голову,Dein Helm rettete dein Leben,Votre casque a protégé votre tête,Hełm uratował ci głowe,헬멧이 당신의 머리를 구했다,Seu capacete salvou sua cabeça,El casco te protegió la cabeza,Din hjälm skyddade ditt huvud,ヘルメットが命を救った,頭盔救了你的命,头盔救了你的命,کلاه ایمنی سر شما را نجات داد,Kypäräsi pelasti pääsi
ArmorProtectedYou,Your body armor has protected you,Бронежилет спас вас,,,,,,,,,,,,
ArmorPenetrated,Your armor was penetrated,Бронежилет был пробит,Deine Rüstung wurde durchdrungen,Votre armure a été pénétrée,Przebicie kamizelki,당신의 갑옷이 뚫렸다,Sua armadura foi penetrada,Tu chaleco antibalas fue penetrado,Din rustning penetrerades,アーマーが貫通された,護甲被穿透,护甲被穿透,زره شما مورد نفوذ قرار گرفته,Panssarisi lävistettiin
ArmorInjury,Blunt force injury under armor,Заброневая травма,,,,,,,,アーマーが損傷した,護甲受損,护甲受损,,Tylppä vamma panssarin alla
,"Write body parts correctly! Eg, ""Flesh wound on head""",,,,,,,,,,,,,
BodyPartHead,head,голове,Kopf,tête,głowie,머리,cabeça,Cabeza,huvud,頭部,頭部,头部,سر,päässä
BodyPartNeck,neck,шее,Hals,cou,szyji,목,pescoço,cuello,nacke,首,頸部,颈部,گردن,niskassa
BodyPartChest,chest,груди,Brust,poitrine,klatki piersiowej,가슴,peito,pecho,bröst,胸部,胸部,胸部,قفسه سینه,rintakehässä
BodyPartLowerBody,abdomen,животе,Unterkörper,bas du corps,brzuchu,하체,abdomen,abdomen,buk,下半身,下身,下身,شکم,alavartalossa
BodyPartArm,arm,руке,Arm,bras,ręce,팔,braço,brazo,arm,腕,手臂,手臂,بازو,kädessä
BodyPartLeg,leg,ноге,Bein,jambe,nodze,다리,Perna,pierna,ben,脚,腿部,腿部,پا,jalassa
,,,,,,,,,,,,,,
GrazeWound,Graze wound,Поверхностное ранение,Hautabschürfung,Écorchure,Otarcię,볼 상처,Raspão,Rasguño,Graze wound,擦り傷,擦傷,擦伤,آسیب سطحی,Pintanaarmu
